symbol,name,exchange,type
DXLG,Destination XL Group  Inc.,NASDAQ Global Market,stock
GSK,GSK plc,New York Stock Exchange,stock
WLY,John Wiley & Sons  Inc.,New York Stock Exchange,stock
KMDA,Kamada Ltd.,NASDAQ Global Select,stock
MET,MetLife  Inc.,New York Stock Exchange,stock
M,Macy's  Inc.,New York Stock Exchange,stock
AG,First Majestic Silver Corp.,New York Stock Exchange,stock
AAL,American Airlines Group Inc.,NASDAQ Global Select,stock
AARD,Aardvark Therapeutics  Inc. Common Stock,NASDAQ Global Select,stock
AB,AllianceBernstein Holding L.P.,New York Stock Exchange,stock
ASML,ASML Holding N.V.,NASDAQ Global Select,stock
BWB,Bridgewater Bancshares  Inc.,NASDAQ Capital Market,stock
BDX,Becton  Dickinson and Company,New York Stock Exchange,stock
SRE,Sempra,New York Stock Exchange,stock
VTMX,Corporación Inmobiliaria Vesta  S.A.B. de C.V.,New York Stock Exchange,stock
CNXC,Concentrix Corporation,NASDAQ Global Select,stock
GLW,Corning Incorporated,New York Stock Exchange,stock
ESAB,ESAB Corporation,New York Stock Exchange,stock
OGS,ONE Gas  Inc.,New York Stock Exchange,stock
SXI,Standex International Corporation,New York Stock Exchange,stock
UNF,UniFirst Corporation,New York Stock Exchange,stock
AVAH,Aveanna Healthcare Holdings Inc.,NASDAQ Global Select,stock
RBA,RB Global  Inc.,New York Stock Exchange,stock
RH,RH,New York Stock Exchange,stock
SHG,Shinhan Financial Group Co.  Ltd.,New York Stock Exchange,stock
TY,Tri-Continental Corporation,New York Stock Exchange,stock
CHEF,The Chefs' Warehouse  Inc.,NASDAQ Global Select,stock
GROV,Grove Collaborative Holdings  Inc.,New York Stock Exchange,stock
LOB,Live Oak Bancshares  Inc.,New York Stock Exchange,stock
MBIO,Mustang Bio  Inc.,NASDAQ Global Market,stock
ONTF,ON24  Inc.,New York Stock Exchange,stock
RBOT,Vicarious Surgical Inc.,New York Stock Exchange,stock
LUCD,Lucid Diagnostics Inc.,NASDAQ Global Market,stock
MGY,Magnolia Oil & Gas Corporation,New York Stock Exchange,stock
NUS,Nu Skin Enterprises  Inc.,New York Stock Exchange,stock
OPRA,Opera Limited,NASDAQ Global Select,stock
MEDP,Medpace Holdings  Inc.,NASDAQ Global Select,stock
PRKS,United Parks & Resorts Inc.,New York Stock Exchange,stock
VIK,Viking Holdings Ltd,New York Stock Exchange,stock
BMO,Bank of Montreal,New York Stock Exchange,stock
CIM,Chimera Investment Corporation,New York Stock Exchange,stock
CVEO,Civeo Corporation,New York Stock Exchange,stock
CLW,Clearwater Paper Corporation,New York Stock Exchange,stock
HPP,Hudson Pacific Properties  Inc.,New York Stock Exchange,stock
KEY-PJ,KeyCorp,New York Stock Exchange,stock
KEX,Kirby Corporation,New York Stock Exchange,stock
VST,Vistra Corp.,New York Stock Exchange,stock
LTRX,Lantronix  Inc.,NASDAQ Capital Market,stock
F-PD,Ford Motor Company 6.500% Notes,New York Stock Exchange,stock
PRDO,Perdoceo Education Corporation,NASDAQ Global Select,stock
GRVY,Gravity Co.  Ltd.,NASDAQ Global Market,stock
GSBD,Goldman Sachs BDC  Inc.,New York Stock Exchange,stock
STEL,Stellar Bancorp  Inc.,NASDAQ Global Select,stock
CRAI,CRA International  Inc.,NASDAQ Global Select,stock
EGY,VAALCO Energy  Inc.,New York Stock Exchange,stock
